time,u1,y1,y_no_noise
0.0,0.0065134,0.08770698840872124,0.08
0.00390625,0.0064932,0.09243323236467818,0.08016567312209878
0.0078125,0.0064618,0.08361213986961696,0.08032588109024247
0.01171875,0.0064194000000000005,0.07571212956432391,0.08047772015826725
0.015625,0.006367200000000001,0.08189617077668404,0.08061886134717874
0.01953125,0.0063062,0.07761703615730611,0.08074755044515201
0.0234375,0.0062388,0.09212334426029169,0.08086260800753155
0.02734375,0.006168,0.07909838132154559,0.08096342935683129
0.03125,0.006097000000000001,0.08922652266814926,0.08104998458273463
0.03515625,0.0060296,0.08625690864488374,0.08112281854209438
0.0390625,0.0059702,0.07941852718668004,0.08118305085893282
0.04296875,0.0059223999999999995,0.09111956676813718,0.08123237592444162
0.046875,0.005889800000000001,0.08067830339069547,0.08127306289698194
0.05078125,0.005875,0.08126642838090552,0.08130795570208436
0.0546875,0.0058802,0.07571660472367744,0.08134047303244892
0.05859375,0.0059055999999999996,0.07718877581885329,0.08137460834794503
0.0625,0.0059508,0.07833195679958435,0.08141492987561166
0.06640625,0.006014,0.0907734508892118,0.0814665806096571
0.0703125,0.006092,0.08595016446266598,0.08153456686117218
0.07421875,0.0061806000000000005,0.08180725528827437,0.08161925736482596
0.078125,0.006274600000000001,0.0862152344909201,0.08171892750586524
0.08203125,0.0063688,0.08609702540010665,0.08183188500500613
0.0859375,0.006457,0.09572660900883384,0.08195647877972828
0.08984375,0.006534,0.08191998398421979,0.08209109894427476
0.09375,0.0065946,0.08006460760752424,0.08223417680965214
0.09765625,0.0066344,0.07684970220543944,0.08238418488363047
0.1015625,0.0066506,0.0784265237333516,0.0825396368707433
0.10546875,0.0066416,0.07835510754133261,0.08269908767228762
0.109375,0.006607,0.08985589670221544,0.08286113338632389
0.11328125,0.0065482,0.08126386933912651,0.08302441130767611
0.1171875,0.006468,0.0825517042627423,0.0831875999279317
0.12109375,0.0063706,0.07696815390967693,0.08334941893544158
0.125,0.0062612,0.08095181345497209,0.08350862921532015
0.12890625,0.006146,0.08075081497961759,0.08366403284944526
0.1328125,0.0060312000000000004,0.08866419709776936,0.0838144731164583
0.13671875,0.005923,0.08431072180909822,0.08395883449176407
0.140625,0.0058272,0.08563176776969353,0.08409604264753089
0.14453125,0.0057488,0.08049715470497051,0.08422506445269054
0.1484375,0.0056912,0.08255848033574119,0.08434490797293828
0.15234375,0.0056564,0.08785407266548015,0.08445462247073286
0.15625,0.0056444,0.08651247248899609,0.08455329840529649
0.16015625,0.005654,0.08849553555481215,0.08464006743261487
0.1640625,0.005681,0.08651683837874861,0.08471410240543718
0.16796875,0.0057208,0.08507772262648668,0.08477461737327609
0.171875,0.0057668,0.07973750364461057,0.08482086758240769
0.17578125,0.005812,0.08256639188250385,0.08485214947587161
0.1796875,0.0058484,0.0925288236372623,0.08486780069347095
0.18359375,0.005869,0.08402020036839045,0.08486720007177226
0.1875,0.0058672,0.0932518325793089,0.08484976764410558
0.19140625,0.005838,0.086610241456681,0.08481496464056444
0.1953125,0.0057776,0.08932480400914086,0.08476229348800585
0.19921875,0.005685,0.09048250714584477,0.08469129781005026
0.203125,0.005561,0.08020334157031117,0.08460156242708164
0.20703125,0.0054086,0.08410110458442874,0.08449271335624743
0.2109375,0.0052334,0.08477568510295129,0.08436441781145852
0.21484375,0.005042,0.08204980929725283,0.08421638420338932
0.21875,0.0048428,0.07709238747610053,0.08404816751091439
0.22265625,0.0046444,0.07763278763329784,0.08385885324385191
0.2265625,0.0044554,0.07618269843708848,0.08364942676450196
0.23046875,0.0042842,0.08175072860665913,0.08342114435218845
0.234375,0.0041376,0.07955743255791548,0.08317524602755709
0.23828125,0.0040206,0.08128013280619485,0.08291295555257541
0.2421875,0.0039358,0.07593048072900398,0.08263548043053277
0.24609375,0.0038844,0.08406375029317846,0.08234401190604032
0.25,0.0038644,0.0900299889527878,0.08203972496503104
0.25390625,0.0038722,0.08939746231160656,0.08172377833475972
0.2578125,0.0039022,0.07579682738108563,0.08139731448380294
0.26171875,0.003948,0.07505355874529472,0.08106145962205916
0.265625,0.004001800000000001,0.07428207212752136,0.08071732370074858
0.26953125,0.0040568,0.08213591136226495,0.08036600041241326
0.2734375,0.004106,0.07719390698793015,0.08000856719091706
0.27734375,0.004144,0.07413258523519325,0.07964608521144566
0.28125,0.0041666,0.07592602874624503,0.07927959939050655
0.28515625,0.0041716,0.06928300078574517,0.07891013838592903
0.2890625,0.0041586,0.06772871180485855,0.07853871459686423
0.29296875,0.0041296,0.08017842107106948,0.07816632416378508
0.296875,0.0040876,0.08030015813000395,0.07779394696848634
0.30078125,0.004037,0.07504456196841612,0.07742254663408454
0.3046875,0.0039828,0.07770606468574517,0.0770530705250181
0.30859375,0.0039308,0.07824159289826782,0.07668644974704719
0.3125,0.003886,0.08105292216169317,0.07632359914725383
0.31640625,0.0038528,0.07396411832988908,0.07596541731404183
0.3203125,0.0038344,0.07349793161089133,0.07561278657713683
0.32421875,0.0038323999999999997,0.07686166299238356,0.07526657300758627
0.328125,0.0038472,0.07575188714096402,0.07492762641775944
0.33203125,0.0038776,0.07455645468974498,0.0745967803613474
0.3359375,0.0039206,0.0749199219435302,0.07427485213336306
0.33984375,0.0039724,0.07541825701868378,0.07396264277014113
0.34375,0.004028800000000001,0.07146807976002972,0.07366093704933811
0.34765625,0.0040848,0.07086791030158089,0.07337050348993236
0.3515625,0.004136,0.0793927653149266,0.07309209435222402
0.35546875,0.004178,0.06754616553275453,0.07282644563783507
0.359375,0.004208,0.07366535113509733,0.07257427708970929
0.36328125,0.0042238,0.07272524291873142,0.07233629219211227
0.3671875,0.0042248,0.07688776565501686,0.07210566822699885
0.37109375,0.0042114000000000006,0.08129884132615403,0.07185572688985956
0.375,0.0041856,0.07329505628450711,0.07158773207079065
0.37890625,0.00415,0.07221445185803453,0.07130577719949888
0.3828125,0.0041086000000000004,0.07243703694615453,0.0710138302991392
0.38671875,0.0040652,0.07280025236657298,0.07071573398631482
0.390625,0.004023799999999999,0.06514530338161606,0.07041520547107717
0.39453125,0.003989,0.06837509597140863,0.07011583655692594
0.3984375,0.0039642,0.08437771997106658,0.069821093640809
0.40234375,0.0039528,0.06937203430098345,0.06953431771312256
0.40625,0.0039572,0.061943211574653025,0.06925872435771094
0.41015625,0.0039792000000000004,0.06735494949860957,0.0689974037518668
0.4140625,0.004019999999999999,0.07120189725980343,0.06875332066633097
0.41796875,0.0040804000000000005,0.06276446466201027,0.06852931446529255
0.421875,0.0041604,0.0730230851745026,0.06832809910638886
0.42578125,0.0042598,0.06327238059060054,0.06815226314070545
0.4296875,0.0043782,0.06892950258952138,0.06800426971277615
0.43359375,0.0045154,0.06348315576093183,0.06788645656058295
0.4375,0.0046706000000000004,0.06730590197901881,0.06780103601555615
0.44140625,0.0048434,0.06627582902375738,0.06775009500257424
0.4453125,0.0050334,0.06608352882156386,0.06773559503996397
0.44921875,0.0052394,0.06912163288958065,0.0677593722395003
0.453125,0.005461000000000001,0.06844659354004073,0.06782313730640645
0.45703125,0.0056968,0.07429045421067175,0.06792847553935387
0.4609375,0.0059456,0.06159832545859992,0.06807684683046224
0.46484375,0.0062055999999999995,0.07127220619506129,0.06826958566529948
0.46875,0.0064746,0.07093018095931682,0.06850790112288173
0.47265625,0.0067508,0.06962202932462701,0.0687928768756734
0.4765625,0.0070317999999999995,0.06924702391295515,0.06912547118958712
0.48046875,0.0073154000000000005,0.07270706187160109,0.06950651692398373
0.484375,0.0075998,0.0701572560102984,0.06993672153167234
0.48828125,0.007883600000000001,0.07531816020666805,0.0704166670589103
0.4921875,0.0081658,0.07578604080278042,0.07094681014540313
0.49609375,0.0084466,0.0750369394022822,0.0715274820243047
0.5,0.0087262,0.0755114490436003,0.07215888852221701
0.50390625,0.009006,0.0689995728776589,0.07284111005919033
0.5078125,0.0092874,0.07148975811795043,0.0735741016487232
